Date,Hour,Imports,Exports
31-Jan-14,10,"1,219","2,043"
31-Jan-14,11,"1,097","1,961"
31-Jan-14,12,"1,188","1,828"
31-Jan-14,13,"1,195","1,601"
31-Jan-14,14,949,"1,554"
31-Jan-14,15,754,"1,419"
31-Jan-14,16,638,"1,338"
31-Jan-14,17,"1,425","1,343"
31-Jan-14,18,"1,377","1,336"
31-Jan-14,19,"1,928","1,404"
31-Jan-14,20,"1,899","1,261"
31-Jan-14,21,"1,688","1,319"
31-Jan-14,22,"1,622","1,292"
31-Jan-14,23,"1,448","1,320"
31-Jan-14,24,"1,558","1,634"
01-Feb-14,1,"1,244","1,562"
01-Feb-14,2,"1,085","1,801"
01-Feb-14,3,"1,059","2,302"
01-Feb-14,4,"1,412","2,385"
01-Feb-14,5,"1,047","2,060"
01-Feb-14,6,"1,542","2,163"
01-Feb-14,7,"1,424","1,832"
01-Feb-14,8,"1,434","1,646"
